CustomerID,Recency,Frequency,Sales,RecencyCluster,FrequencyCluster,SalesCluster,TotalScore,Churn
2,136,31,1091.69,1,0,0,1,1
3,425,17,291.36,1,0,0,1,1
4,65,20,1266.8300000000002,1,0,0,1,1
5,30,31,1237.8799999999999,1,0,0,1,1
6,30,27,1088.89,1,0,0,1,1
7,1,160,16374.44,1,0,0,1,1
8,9,196,6518.419999999998,1,0,0,1,1
9,131,24,2006.4499999999998,1,0,0,1,1
10,113,30,7728.9400000000005,1,0,0,1,1
12,71,26,5920.9299999999985,1,0,0,1,1
13,580,9,557.46,1,0,0,1,1
14,28,37,3894.6799999999994,1,0,0,1,1
15,604,5,1459.7,1,0,0,1,1
16,1,155,18946.519999999997,1,0,0,1,1
18,1,239,18389.26999999999,1,0,0,1,1
19,8,27,706.8199999999999,1,0,0,1,1
20,26,13,77.94999999999999,1,0,0,1,1
22,565,2,67.54,1,0,0,1,1
23,16,21,692.91,1,0,0,1,1
26,2,47,678.7900000000001,1,0,0,1,1
28,121,15,814.8499999999999,1,0,0,1,1
29,29,18,558.13,1,0,0,1,1
30,56,7,85.63,1,0,0,1,1
31,226,8,201.2,1,0,0,1,1
32,154,8,16.51,1,0,0,1,1
33,23,36,5749.930000000001,1,0,0,1,1
34,2,130,10483.529999999999,1,0,0,1,1
36,13,78,5768.209999999999,1,0,0,1,1
38,56,11,279.98,1,0,0,1,1
39,85,80,14480.059999999998,1,0,0,1,1
41,28,28,2417.58,1,0,0,1,1
42,315,19,656.6999999999999,1,0,0,1,1
43,99,16,534.3200000000002,1,0,0,1,1
44,14,67,1242.19,1,0,0,1,1
45,229,11,640.6099999999999,1,0,0,1,1
46,5,24,-103.39999999999998,1,0,0,1,1
47,8,14,143.55,1,0,0,1,1
48,132,8,263.39,1,0,0,1,1
49,58,14,259.87,1,0,0,1,1
50,181,7,312.35,1,0,0,1,1
51,8,68,5942.919999999999,1,0,0,1,1
56,257,16,833.65,1,0,0,1,1
57,65,10,205.36000000000004,1,0,0,1,1
58,9,93,8140.400000000001,1,0,0,1,1
59,7,19,443.72,1,0,0,1,1
61,30,82,2232.45,1,0,0,1,1
62,4,197,7393.670000000001,1,0,0,1,1
63,79,13,6882.11,1,0,0,1,1
66,84,4,194.62,1,0,0,1,1
67,1,675,91538.53000000003,1,0,0,1,1
68,239,5,381.09,1,0,0,1,1
70,8,55,1808.8400000000001,1,0,0,1,1
71,20,20,285.09,1,0,0,1,1
72,7,61,1431.12,1,0,0,1,1
74,0,430,17275.059999999998,1,0,0,1,1
76,2,67,7621.370000000001,1,0,0,1,1
77,0,18,196.14000000000001,1,0,0,1,1
78,12,128,8789.65,1,0,0,1,1
79,425,7,3380.86,1,0,0,1,1
80,12,19,461.74,1,0,0,1,1
81,1,374,93575.44000000002,1,0,0,1,1
82,56,29,3001.39,1,0,0,1,1
83,7,237,33040.71,1,0,0,1,1
87,267,54,12566.820000000003,1,0,0,1,1
88,450,3,49.199999999999996,1,0,0,1,1
89,37,846,60231.40000000001,1,0,0,1,1
90,561,8,1585.84,1,0,0,1,1
92,8,32,551.59,1,0,0,1,1
93,12,51,3235.5599999999995,1,0,0,1,1
98,8,35,2649.4200000000005,1,0,0,1,1
99,537,6,516.04,1,0,0,1,1
100,334,3,21.0,1,0,0,1,1
101,142,18,573.8,1,0,0,1,1
102,8,35,1300.15,1,0,0,1,1
103,42,32,3148.2,1,0,0,1,1
104,60,23,-1017.7500000000002,1,0,0,1,1
105,9,12,627.22,1,0,0,1,1
106,34,15,744.87,1,0,0,1,1
109,54,8,705.0,1,0,0,1,1
112,13,24,2944.6,1,0,0,1,1
113,9,6,2228.0,1,0,0,1,1
114,1,39,2478.4,1,0,0,1,1
116,99,13,777.92,1,0,0,1,1
119,328,4,480.97999999999996,1,0,0,1,1
121,79,65,2159.62,1,0,0,1,1
123,105,27,1198.85,1,0,0,1,1
124,7,33,320.59000000000003,1,0,0,1,1
128,1,275,20076.310000000005,1,0,0,1,1
129,119,99,2342.4300000000003,1,0,0,1,1
132,30,60,6364.21,1,0,0,1,1
133,9,82,2497.67,1,0,0,1,1
134,17,25,896.3599999999999,1,0,0,1,1
136,2,43,1129.4199999999998,1,0,0,1,1
140,16,21,715.35,1,0,0,1,1
141,2,162,9703.14,1,0,0,1,1
142,48,14,149.5,1,0,0,1,1
143,40,19,248.28,1,0,0,1,1
144,131,5,1969.3899999999999,1,0,0,1,1
147,20,10,1900.48,1,0,0,1,1
148,334,112,4794.090000000001,1,0,0,1,1
149,0,39,1432.1699999999998,1,0,0,1,1
150,24,114,13974.98,1,0,0,1,1
151,20,54,4085.17,1,0,0,1,1
154,16,17,1262.54,1,0,0,1,1
156,177,9,2530.9,1,0,0,1,1
157,131,15,769.9200000000001,1,0,0,1,1
158,20,22,3447.9000000000005,1,0,0,1,1
159,161,7,776.3499999999999,1,0,0,1,1
160,293,13,999.75,1,0,0,1,1
163,27,20,211.8,1,0,0,1,1
168,69,16,2663.3599999999997,1,0,0,1,1
169,58,37,1265.39,1,0,0,1,1
172,177,17,281.08,1,0,0,1,1
173,303,14,3996.09,1,0,0,1,1
174,398,11,224.63,1,0,0,1,1
175,512,45,772.0300000000001,1,0,0,1,1
176,2,215,20648.579999999998,1,0,0,1,1
177,422,3,499.76,1,0,0,1,1
178,30,10,1016.0,1,0,0,1,1
180,247,7,1042.18,1,0,0,1,1
181,5,84,13942.350000000004,1,0,0,1,1
184,28,12,4722.349999999999,1,0,0,1,1
185,1,75,5239.530000000001,1,0,0,1,1
186,40,8,188.60999999999999,1,0,0,1,1
187,510,37,1833.9800000000002,1,0,0,1,1
190,464,4,336.08,1,0,0,1,1
192,0,1015,37820.43,1,0,0,1,1
194,8,105,7609.959999999999,1,0,0,1,1
195,105,54,3537.4199999999996,1,0,0,1,1
198,12,164,7299.039999999999,1,0,0,1,1
199,9,23,4239.860000000001,1,0,0,1,1
206,367,16,759.23,1,0,0,1,1
207,239,9,552.66,1,0,0,1,1
209,607,8,345.05999999999995,1,0,0,1,1
210,138,48,6245.510000000001,1,0,0,1,1
211,2,53,38992.56999999999,1,0,0,1,1
212,126,25,655.3800000000001,1,0,0,1,1
214,424,10,835.34,1,0,0,1,1
215,64,19,4853.67,1,0,0,1,1
216,16,19,2738.8500000000004,1,0,0,1,1
219,8,25,2094.7699999999995,1,0,0,1,1
220,19,9,1785.9800000000002,1,0,0,1,1
222,384,14,596.72,1,0,0,1,1
223,60,12,1929.43,1,0,0,1,1
224,60,36,3525.51,1,0,0,1,1
225,57,43,4656.989999999999,1,0,0,1,1
226,30,17,5296.79,1,0,0,1,1
227,36,18,2734.85,1,0,0,1,1
228,413,8,138.76,1,0,0,1,1
233,13,24,2261.9900000000002,1,0,0,1,1
236,317,52,986.57,1,0,0,1,1
237,28,16,300.69,1,0,0,1,1
239,242,23,979.0999999999999,1,0,0,1,1
241,534,7,1490.67,1,0,0,1,1
242,590,3,695.1700000000001,1,0,0,1,1
244,27,35,2593.8500000000004,1,0,0,1,1
245,1,2469,162862.55000000005,1,0,0,1,1
246,125,13,477.82000000000005,1,0,0,1,1
248,14,71,8776.060000000003,1,0,0,1,1
249,272,27,3527.62,1,0,0,1,1
250,30,6,1857.6,1,0,0,1,1
251,250,26,1669.3899999999999,1,0,0,1,1
254,20,98,1889.62,1,0,0,1,1
255,30,33,5338.49,1,0,0,1,1
256,2,392,27495.499999999993,1,0,0,1,1
257,1,176,6876.270000000001,1,0,0,1,1
258,57,35,1656.5,1,0,0,1,1
259,272,8,866.86,1,0,0,1,1
260,99,27,6714.4400000000005,1,0,0,1,1
261,23,81,2129.0899999999997,1,0,0,1,1
263,211,7,1165.8,1,0,0,1,1
265,408,26,1485.23,1,0,0,1,1
269,19,21,551.37,1,0,0,1,1
270,8,138,4674.55,1,0,0,1,1
271,127,41,1816.7399999999998,1,0,0,1,1
272,1,115,5971.0599999999995,1,0,0,1,1
273,208,10,1198.03,1,0,0,1,1
276,407,13,1271.3899999999999,1,0,0,1,1
277,57,9,497.98,1,0,0,1,1
278,64,7,825.8900000000001,1,0,0,1,1
280,14,107,9980.71,1,0,0,1,1
281,14,10,2046.4699999999998,1,0,0,1,1
283,85,28,2974.399999999999,1,0,0,1,1
284,208,58,3685.9199999999996,1,0,0,1,1
286,42,66,2220.2200000000007,1,0,0,1,1
287,77,9,2922.52,1,0,0,1,1
288,187,77,2209.7400000000002,1,0,0,1,1
289,91,10,2319.3,1,0,0,1,1
290,187,8,565.12,1,0,0,1,1
291,127,34,2387.0500000000006,1,0,0,1,1
292,30,9,359.17,1,0,0,1,1
293,0,50,3909.2200000000003,1,0,0,1,1
294,447,8,272.07,1,0,0,1,1
296,378,17,58466.15,1,0,0,1,1
297,1,30,2262.75,1,0,0,1,1
299,0,520,31342.02,1,0,0,1,1
300,261,6,312.86,1,0,0,1,1
301,84,48,4577.1,1,0,0,1,1
302,8,203,9411.750000000004,1,0,0,1,1
304,58,40,720.54,1,0,0,1,1
306,2,138,28696.2,1,0,0,1,1
307,22,37,5694.559999999999,1,0,0,1,1
308,7,68,1549.81,1,0,0,1,1
310,2,71,5227.920000000001,1,0,0,1,1
313,13,33,1238.23,1,0,0,1,1
314,456,6,614.21,1,0,0,1,1
317,587,11,141.91,1,0,0,1,1
321,60,28,754.0299999999997,1,0,0,1,1
324,73,34,2693.77,1,0,0,1,1
325,579,11,330.25,1,0,0,1,1
326,119,8,2525.38,1,0,0,1,1
327,22,21,2929.62,1,0,0,1,1
328,1,152,20694.18,1,0,0,1,1
330,2,128,7874.12,1,0,0,1,1
331,219,34,3009.079999999999,1,0,0,1,1
333,111,8,750.18,1,0,0,1,1
334,254,3,132.86,1,0,0,1,1
336,106,13,6077.9400000000005,1,0,0,1,1
337,43,5,60.46,1,0,0,1,1
338,20,41,2043.0700000000002,1,0,0,1,1
340,28,32,1394.06,1,0,0,1,1
341,7,146,3539.64,1,0,0,1,1
342,14,12,9115.210000000001,1,0,0,1,1
344,1,68,6548.01,1,0,0,1,1
345,134,9,60.06,1,0,0,1,1
349,40,13,229.93,1,0,0,1,1
350,14,15,156.74000000000007,1,0,0,1,1
351,91,10,527.67,1,0,0,1,1
354,14,47,10400.3,1,0,0,1,1
355,76,13,1822.86,1,0,0,1,1
359,15,48,2270.35,1,0,0,1,1
361,22,152,11184.54,1,0,0,1,1
362,345,6,371.76,1,0,0,1,1
363,226,7,177.01,1,0,0,1,1
364,211,35,22267.45,1,0,0,1,1
367,1,25,3525.56,1,0,0,1,1
368,14,199,6652.520000000002,1,0,0,1,1
370,1,211,50203.340000000004,1,0,0,1,1
371,60,49,4500.830000000001,1,0,0,1,1
372,2,998,42454.23999999999,1,0,0,1,1
373,8,41,4920.16,1,0,0,1,1
374,43,16,116.26999999999998,1,0,0,1,1
377,7,50,2019.7299999999993,1,0,0,1,1
378,351,3,255.01999999999998,1,0,0,1,1
379,167,10,143.57999999999998,1,0,0,1,1
380,2,447,16322.639999999998,1,0,0,1,1
381,71,31,1059.94,1,0,0,1,1
382,481,10,530.5,1,0,0,1,1
383,21,46,2816.92,1,0,0,1,1
384,13,19,5093.7699999999995,1,0,0,1,1
390,5,37,5637.51,1,0,0,1,1
391,91,18,3257.4100000000003,1,0,0,1,1
392,547,8,448.32,1,0,0,1,1
393,16,23,1763.59,1,0,0,1,1
394,19,11,134.66,1,0,0,1,1
397,59,92,2529.73,1,0,0,1,1
398,14,26,2602.3799999999997,1,0,0,1,1
402,73,15,1297.46,1,0,0,1,1
403,359,15,280.07000000000005,1,0,0,1,1
405,28,47,7982.09,1,0,0,1,1
407,253,18,590.1,1,0,0,1,1
408,7,30,1611.8,1,0,0,1,1
409,12,174,12401.329999999998,1,0,0,1,1
412,0,144,6919.749999999999,1,0,0,1,1
413,395,12,322.56,1,0,0,1,1
414,0,391,15454.849999999999,1,0,0,1,1
415,205,6,2131.69,1,0,0,1,1
416,0,182,19696.510000000002,1,0,0,1,1
417,2,42,2589.5500000000006,1,0,0,1,1
423,48,21,1886.61,1,0,0,1,1
425,153,16,361.31000000000006,1,0,0,1,1
426,118,6,572.81,1,0,0,1,1
427,9,23,13839.619999999999,1,0,0,1,1
428,91,9,833.3900000000001,1,0,0,1,1
430,36,27,1488.8499999999997,1,0,0,1,1
431,251,52,1718.6399999999999,1,0,0,1,1
433,27,30,640.6099999999999,1,0,0,1,1
435,14,72,5785.1500000000015,1,0,0,1,1
436,1,66,6572.160000000001,1,0,0,1,1
437,13,66,49254.770000000004,1,0,0,1,1
438,7,166,3130.0200000000004,1,0,0,1,1
439,425,543,45575.78000000002,1,0,0,1,1
441,1,141,17349.08,1,0,0,1,1
442,181,7,897.03,1,0,0,1,1
446,119,136,7757.869999999998,1,0,0,1,1
447,9,7,306.89,1,0,0,1,1
450,9,45,6096.360000000001,1,0,0,1,1
451,5,39,-181.00999999999988,1,0,0,1,1
452,43,14,1564.17,1,0,0,1,1
453,51,8,1655.86,1,0,0,1,1
454,1,338,13813.609999999999,1,0,0,1,1
457,133,12,931.8000000000001,1,0,0,1,1
458,169,9,682.4,1,0,0,1,1
459,35,14,2894.32,1,0,0,1,1
460,1,183,8194.550000000001,1,0,0,1,1
462,91,30,1004.0200000000001,1,0,0,1,1
466,176,9,3005.46,1,0,0,1,1
467,173,13,334.65999999999997,1,0,0,1,1
469,2,444,42556.91999999999,1,0,0,1,1
470,2,42,8016.449999999999,1,0,0,1,1
471,419,26,501.76000000000005,1,0,0,1,1
472,495,8,988.5800000000003,1,0,0,1,1
473,76,77,1928.1499999999999,1,0,0,1,1
474,2,649,35166.92,1,0,0,1,1
475,0,164,9439.219999999998,1,0,0,1,1
476,84,26,1617.59,1,0,0,1,1
481,450,12,1778.7099999999996,1,0,0,1,1
482,91,76,2153.58,1,0,0,1,1
483,1,173,6930.469999999999,1,0,0,1,1
485,13,57,2861.92,1,0,0,1,1
487,74,21,2099.9500000000003,1,0,0,1,1
489,20,17,1120.26,1,0,0,1,1
491,7,35,1574.23,1,0,0,1,1
492,555,14,2228.65,1,0,0,1,1
494,72,17,5791.57,1,0,0,1,1
495,7,16,255.85,1,0,0,1,1
497,197,4,340.63,1,0,0,1,1
499,2,141,5734.500000000001,1,0,0,1,1
501,362,12,831.19,1,0,0,1,1
503,90,27,984.55,1,0,0,1,1
